variable_name,units,value,data_reference
u_0_L2_E38,J_per_m3,0.4372220626080262,TO_DO
theta_L2_E38,dimensionless,0.0,TO_DO
E_L2_E38,J_per_m3,119156.66301562765,TO_DO
l_L2_E38,metre,3.3469e-06,TO_DO
r_0_L2_E38,metre,3.8119e-06,TO_DO
E_L2_E39,J_per_m3,242821.6263467157,TO_DO
l_L2_E39,metre,4.964e-06,TO_DO
r_0_L2_E39,metre,6.687e-06,TO_DO
u_0_L2_E39,J_per_m3,53.1373642263337,TO_DO
u_ext_L2_E39,J_per_m3,0.0,TO_DO
theta_L2_E39,dimensionless,0.0,TO_DO
E_L2_E40,J_per_m3,126971.07458663464,TO_DO
l_L2_E40,metre,2.7038000000000003e-06,TO_DO
r_0_L2_E40,metre,5.2353e-06,TO_DO
u_0_L2_E40,J_per_m3,19.587207786759542,TO_DO
u_ext_L2_E40,J_per_m3,0.0,TO_DO
theta_L2_E40,dimensionless,0.0,TO_DO
E_L2_E41,J_per_m3,172411.41313736312,TO_DO
l_L2_E41,metre,3.0407e-06,TO_DO
r_0_L2_E41,metre,4.9821e-06,TO_DO
u_0_L2_E41,J_per_m3,0.013565048396166901,TO_DO
u_ext_L2_E41,J_per_m3,0.0,TO_DO
theta_L2_E41,dimensionless,0.0,TO_DO
E_L2_E42,J_per_m3,183514.64553211178,TO_DO
l_L2_E42,metre,6.6947e-06,TO_DO
r_0_L2_E42,metre,9.411e-07,TO_DO
u_0_L2_E42,J_per_m3,2.2543780246142576e-12,TO_DO
u_ext_L2_E42,J_per_m3,0.0,TO_DO
theta_L2_E42,dimensionless,0.0,TO_DO
E_L2_E43,J_per_m3,151169.10780426534,TO_DO
l_L2_E43,metre,9.4402e-06,TO_DO
r_0_L2_E43,metre,4.250499999999999e-06,TO_DO
u_0_L2_E43,J_per_m3,1.6358312890929483e-06,TO_DO
u_ext_L2_E43,J_per_m3,0.0,TO_DO
theta_L2_E43,dimensionless,0.0,TO_DO
E_L2_E44,J_per_m3,204408.69298741146,TO_DO
l_L2_E44,metre,9.944e-06,TO_DO
r_0_L2_E44,metre,1.6003e-06,TO_DO
u_0_L2_E44,J_per_m3,1.2432952934760336e-08,TO_DO
u_ext_L2_E44,J_per_m3,0.0,TO_DO
theta_L2_E44,dimensionless,0.0,TO_DO
E_L2_E45,J_per_m3,170061.33939766994,TO_DO
l_L2_E45,metre,1.0651899999999999e-05,TO_DO
r_0_L2_E45,metre,2.2414e-06,TO_DO
u_0_L2_E45,J_per_m3,0.17708758754131448,TO_DO
u_ext_L2_E45,J_per_m3,0.0,TO_DO
theta_L2_E45,dimensionless,0.0,TO_DO
u_ext_L2_E46,J_per_m3,0.0,TO_DO
u_0_L2_E46,J_per_m3,0.03487402853707105,TO_DO
theta_L2_E46,dimensionless,0.0,TO_DO
E_L2_E46,J_per_m3,173457.74310916598,TO_DO
l_L2_E46,metre,3.6499999999999998e-06,TO_DO
r_0_L2_E46,metre,1.1422e-06,TO_DO
E_L2_E47,J_per_m3,134977.765333183,TO_DO
l_L2_E47,metre,7.197e-06,TO_DO
r_0_L2_E47,metre,3.0725e-06,TO_DO
u_0_L2_E47,J_per_m3,9.225449406146623,TO_DO
u_ext_L2_E47,J_per_m3,0.0,TO_DO
theta_L2_E47,dimensionless,0.0,TO_DO
E_L2_E48,J_per_m3,134760.9117217377,TO_DO
l_L2_E48,metre,4.021799999999999e-06,TO_DO
r_0_L2_E48,metre,4.1952999999999995e-06,TO_DO
u_0_L2_E48,J_per_m3,56.682254057469514,TO_DO
u_ext_L2_E48,J_per_m3,0.0,TO_DO
theta_L2_E48,dimensionless,0.0,TO_DO
E_L2_E49,J_per_m3,108066.37188149,TO_DO
l_L2_E49,metre,2.2926999999999997e-06,TO_DO
r_0_L2_E49,metre,5.7122e-06,TO_DO
u_0_L2_E49,J_per_m3,1.1217561601828407e-11,TO_DO
theta_L2_E49,dimensionless,0.0,TO_DO
u_ext_L2_E49,J_per_m3,0.0,TO_DO
u_ext_L2_E50,J_per_m3,0.0,TO_DO
u_0_L2_E50,J_per_m3,4.261266894900473e-10,TO_DO
theta_L2_E50,dimensionless,0.0,TO_DO
E_L2_E50,J_per_m3,216000.36619504436,TO_DO
l_L2_E50,metre,2.891e-06,TO_DO
r_0_L2_E50,metre,4.5162e-06,TO_DO
E_L2_E51,J_per_m3,150668.54093944433,TO_DO
l_L2_E51,metre,1.2394e-06,TO_DO
r_0_L2_E51,metre,3.0179e-06,TO_DO
u_0_L2_E51,J_per_m3,8.018802333253916e-08,TO_DO
u_ext_L2_E51,J_per_m3,0.0,TO_DO
theta_L2_E51,dimensionless,0.0,TO_DO
E_L2_E52,J_per_m3,114324.39657239977,TO_DO
l_L2_E52,metre,2.1227e-06,TO_DO
r_0_L2_E52,metre,3.7945999999999996e-06,TO_DO
u_0_L2_E52,J_per_m3,9.078256702987897e-06,TO_DO
u_ext_L2_E52,J_per_m3,0.0,TO_DO
theta_L2_E52,dimensionless,0.0,TO_DO
E_L2_E53,J_per_m3,208791.07997211168,TO_DO
l_L2_E53,metre,5.9685e-06,TO_DO
r_0_L2_E53,metre,7.113e-06,TO_DO
u_0_L2_E53,J_per_m3,0.000522092197627444,TO_DO
u_ext_L2_E53,J_per_m3,0.0,TO_DO
theta_L2_E53,dimensionless,0.0,TO_DO
E_L2_E54,J_per_m3,151849.3306747822,TO_DO
l_L2_E54,metre,6.1578e-06,TO_DO
r_0_L2_E54,metre,5.21e-07,TO_DO
u_0_L2_E54,J_per_m3,-2.2737367544323206e-13,TO_DO
u_ext_L2_E54,J_per_m3,0.0,TO_DO
theta_L2_E54,dimensionless,0.0,TO_DO
E_L2_E55,J_per_m3,127220.50868448653,TO_DO
l_L2_E55,metre,8.1606e-06,TO_DO
r_0_L2_E55,metre,1.1956999999999998e-06,TO_DO
u_0_L2_E55,J_per_m3,5.011358173544206e-11,TO_DO
u_ext_L2_E55,J_per_m3,0.0,TO_DO
theta_L2_E55,dimensionless,0.0,TO_DO
E_L2_E56,J_per_m3,196222.50082150238,TO_DO
l_L2_E56,metre,9.818999999999999e-07,TO_DO
r_0_L2_E56,metre,4.3933e-06,TO_DO
u_0_L2_E56,J_per_m3,8.934845642620537e-07,TO_DO
theta_L2_E56,dimensionless,0.0,TO_DO
u_ext_L2_E56,J_per_m3,0.0,TO_DO
u_ext_L2_E57,J_per_m3,0.0,TO_DO
u_0_L2_E57,J_per_m3,8.854397071900166e-05,TO_DO
theta_L2_E57,dimensionless,0.0,TO_DO
E_L2_E57,J_per_m3,196627.73554273395,TO_DO
l_L2_E57,metre,6.660899999999999e-06,TO_DO
r_0_L2_E57,metre,2.8923e-06,TO_DO
E_L2_E58,J_per_m3,127564.28017033225,TO_DO
l_L2_E58,metre,3.1712e-06,TO_DO
r_0_L2_E58,metre,5.138899999999999e-06,TO_DO
u_0_L2_E58,J_per_m3,0.03946461827387715,TO_DO
u_ext_L2_E58,J_per_m3,0.0,TO_DO
theta_L2_E58,dimensionless,0.0,TO_DO
E_L2_E59,J_per_m3,122162.12883690478,TO_DO
l_L2_E59,metre,5.6906999999999996e-06,TO_DO
r_0_L2_E59,metre,8.4435e-06,TO_DO
u_0_L2_E59,J_per_m3,1.0383128579185268,TO_DO
theta_L2_E59,dimensionless,0.0,TO_DO
u_ext_L2_E59,J_per_m3,0.0,TO_DO
E_L2_E60,J_per_m3,118991.75808855674,TO_DO
l_L2_E60,metre,1.33927e-05,TO_DO
r_0_L2_E60,metre,1.9594e-06,TO_DO
u_0_L2_E60,J_per_m3,0.003169823592600096,TO_DO
theta_L2_E60,dimensionless,0.0,TO_DO
u_ext_L2_E60,J_per_m3,0.0,TO_DO
u_ext_L2_E61,J_per_m3,0.0,TO_DO
u_0_L2_E61,J_per_m3,12.847324823608744,TO_DO
theta_L2_E61,dimensionless,0.0,TO_DO
E_L2_E61,J_per_m3,118140.26823528786,TO_DO
l_L2_E61,metre,1.3729e-06,TO_DO
r_0_L2_E61,metre,7.1666999999999995e-06,TO_DO
E_L2_E62,J_per_m3,160268.06351282017,TO_DO
l_L2_E62,metre,4.359600000000001e-06,TO_DO
r_0_L2_E62,metre,4.5631e-06,TO_DO
u_0_L2_E62,J_per_m3,2.106038294868995e-06,TO_DO
u_ext_L2_E62,J_per_m3,0.0,TO_DO
theta_L2_E62,dimensionless,0.0,TO_DO
E_L2_E63,J_per_m3,117840.34537860905,TO_DO
l_L2_E63,metre,3.0109e-06,TO_DO
r_0_L2_E63,metre,6.108399999999999e-06,TO_DO
u_0_L2_E63,J_per_m3,0.00011790975296577244,TO_DO
u_ext_L2_E63,J_per_m3,0.0,TO_DO
theta_L2_E63,dimensionless,0.0,TO_DO
E_L2_E64,J_per_m3,88581.27959524406,TO_DO
l_L2_E64,metre,2.2677999999999997e-06,TO_DO
r_0_L2_E64,metre,7.607e-06,TO_DO
u_0_L2_E64,J_per_m3,0.0016370419310760553,TO_DO
u_ext_L2_E64,J_per_m3,0.0,TO_DO
theta_L2_E64,dimensionless,0.0,TO_DO
E_L2_E65,J_per_m3,107178.46180614969,TO_DO
l_L2_E65,metre,7.085799999999999e-06,TO_DO
r_0_L2_E65,metre,5.4410999999999995e-06,TO_DO
u_0_L2_E65,J_per_m3,1.0390088789336005e-10,TO_DO
u_ext_L2_E65,J_per_m3,0.0,TO_DO
theta_L2_E65,dimensionless,0.0,TO_DO
E_L2_E66,J_per_m3,256046.21933511115,TO_DO
l_L2_E66,metre,2.7859e-06,TO_DO
r_0_L2_E66,metre,7.6686e-06,TO_DO
u_0_L2_E66,J_per_m3,4.163609901297605e-09,TO_DO
theta_L2_E66,dimensionless,0.0,TO_DO
u_ext_L2_E66,J_per_m3,0.0,TO_DO
E_L2_E67,J_per_m3,140872.17508329503,TO_DO
l_L2_E67,metre,8.353e-07,TO_DO
r_0_L2_E67,metre,6.826699999999999e-06,TO_DO
u_0_L2_E67,J_per_m3,1.25924628302189,TO_DO
u_ext_L2_E67,J_per_m3,0.0,TO_DO
theta_L2_E67,dimensionless,0.0,TO_DO
E_L2_E68,J_per_m3,151257.71034027621,TO_DO
l_L2_E68,metre,8.1446e-06,TO_DO
r_0_L2_E68,metre,4.5201999999999995e-06,TO_DO
u_0_L2_E68,J_per_m3,0.013997742138798614,TO_DO
theta_L2_E68,dimensionless,0.0,TO_DO
u_ext_L2_E68,J_per_m3,0.0,TO_DO
E_L2_E69,J_per_m3,204154.44522210688,TO_DO
l_L2_E69,metre,6.716e-06,TO_DO
r_0_L2_E69,metre,1.08286e-05,TO_DO
u_0_L2_E69,J_per_m3,0.0012234395005279453,TO_DO
theta_L2_E69,dimensionless,0.0,TO_DO
u_ext_L2_E69,J_per_m3,0.0,TO_DO
u_ext_L2_E70,J_per_m3,0.0,TO_DO
u_0_L2_E70,J_per_m3,13.558075663863292,TO_DO
theta_L2_E70,dimensionless,0.0,TO_DO
E_L2_E70,J_per_m3,113949.16031170411,TO_DO
l_L2_E70,metre,5.8997e-06,TO_DO
r_0_L2_E70,metre,1.40511e-05,TO_DO
E_L2_E71,J_per_m3,158574.10962556367,TO_DO
l_L2_E71,metre,4.4706e-06,TO_DO
r_0_L2_E71,metre,1.01233e-05,TO_DO
u_0_L2_E71,J_per_m3,2.503372814812053,TO_DO
u_ext_L2_E71,J_per_m3,0.0,TO_DO
theta_L2_E71,dimensionless,0.0,TO_DO
E_L2_E72,J_per_m3,169021.93879203062,TO_DO
l_L2_E72,metre,4.422799999999999e-06,TO_DO
r_0_L2_E72,metre,6.7245e-06,TO_DO
u_0_L2_E72,J_per_m3,0.19745601762181586,TO_DO
u_ext_L2_E72,J_per_m3,0.0,TO_DO
theta_L2_E72,dimensionless,0.0,TO_DO
E_L2_E73,J_per_m3,138427.80165228897,TO_DO
l_L2_E73,metre,8.8786e-06,TO_DO
r_0_L2_E73,metre,4.8662999999999995e-06,TO_DO
u_0_L2_E73,J_per_m3,0.002400495560048732,TO_DO
theta_L2_E73,dimensionless,0.0,TO_DO
u_ext_L2_E73,J_per_m3,0.0,TO_DO
E_L2_E74,J_per_m3,173515.63849811172,TO_DO
l_L2_E74,metre,7.5998e-06,TO_DO
r_0_L2_E74,metre,1.1614000000000001e-05,TO_DO
u_0_L2_E74,J_per_m3,41.32552413268111,TO_DO
u_ext_L2_E74,J_per_m3,0.0,TO_DO
theta_L2_E74,dimensionless,0.0,TO_DO
E_L2_E75,J_per_m3,198107.11696647835,TO_DO
l_L2_E75,metre,5.846e-07,TO_DO
r_0_L2_E75,metre,9.247e-06,TO_DO
u_0_L2_E75,J_per_m3,164.27691256459985,TO_DO
u_ext_L2_E75,J_per_m3,0.0,TO_DO
theta_L2_E75,dimensionless,0.0,TO_DO
u_ext_L2_E76,J_per_m3,0.0,TO_DO
u_0_L2_E76,J_per_m3,0.2950314229137234,TO_DO
theta_L2_E76,dimensionless,0.0,TO_DO
E_L2_E76,J_per_m3,141906.33383382478,TO_DO
l_L2_E76,metre,2.6101e-06,TO_DO
r_0_L2_E76,metre,8.3631e-06,TO_DO
u_ext_L2_E77,J_per_m3,0.0,TO_DO
u_0_L2_E77,J_per_m3,0.059386049459178025,TO_DO
theta_L2_E77,dimensionless,0.0,TO_DO
E_L2_E77,J_per_m3,64995.20261928794,TO_DO
l_L2_E77,metre,8.693999999999999e-07,TO_DO
r_0_L2_E77,metre,7.7777e-06,TO_DO
u_ext_L2_E78,J_per_m3,0.0,TO_DO
u_0_L2_E78,J_per_m3,0.0003379992409966448,TO_DO
theta_L2_E78,dimensionless,0.0,TO_DO
E_L2_E78,J_per_m3,189338.39279880177,TO_DO
l_L2_E78,metre,1.052e-06,TO_DO
r_0_L2_E78,metre,5.3555e-06,TO_DO
E_L2_E79,J_per_m3,122785.65943092118,TO_DO
l_L2_E79,metre,6.403999999999999e-07,TO_DO
r_0_L2_E79,metre,9.6524e-06,TO_DO
u_0_L2_E79,J_per_m3,3608.3705083043556,TO_DO
u_ext_L2_E79,J_per_m3,0.0,TO_DO
theta_L2_E79,dimensionless,0.0,TO_DO
u_ext_L2_E80,J_per_m3,0.0,TO_DO
u_0_L2_E80,J_per_m3,45.898490175020314,TO_DO
theta_L2_E80,dimensionless,0.0,TO_DO
E_L2_E80,J_per_m3,195873.32261015842,TO_DO
l_L2_E80,metre,2.2913e-06,TO_DO
r_0_L2_E80,metre,1.62801e-05,TO_DO
E_L2_E81,J_per_m3,109903.41646167092,TO_DO
l_L2_E81,metre,1.03108e-05,TO_DO
r_0_L2_E81,metre,1.03177e-05,TO_DO
u_0_L2_E81,J_per_m3,8.279548411355712,TO_DO
u_ext_L2_E81,J_per_m3,0.0,TO_DO
